1,2,3,4,5,6,7,8,9,10,11,12
1.3505,1.4004,1.4188,1.4112,1.4093,1.4212,1.423,1.4725,1.4012,1.4323,1.2745,1.3883
1.3376,1.4055,1.4072,1.4067,1.3988,1.3954,1.3987,1.4484,1.3952,1.4064,1.4106,1.2889
1.3425,1.408,1.4167,1.4311,1.4055,1.4035,1.4046,1.4575,1.406,1.4235,1.4289,1.3951
1.3146,1.3662,1.3811,1.3637,1.3743,1.3879,1.385,1.4284,1.36,1.3964,1.3832,1.3562
1.3436,1.3977,1.4032,1.4769,1.3741,1.4055,1.4139,1.3915,1.4834,1.4219,1.404,1.3991
1.302,1.3894,1.4168,1.4666,1.4646,1.3974,1.4116,1.3856,1.4668,1.4134,1.4021,1.3991
1.2838,1.3986,1.3992,1.4758,1.408,1.4069,1.4142,1.4022,1.4674,1.4199,1.4092,1.361
1.3478,1.3902,1.3831,1.4698,1.3913,1.4075,1.4095,1.4038,1.4781,1.4082,1.4009,1.2882
