1,2,3,4,5,6,7,8,9,10,11,12
1.3539,1.4054,1.4039,1.3987,1.4129,1.4027,1.4331,1.4108,1.4086,1.4135,1.3944,1.397
1.3315,1.3994,1.3923,1.3878,1.3919,1.389,1.3923,1.3915,1.389,1.4019,1.3772,1.3923
1.3588,1.4047,1.3971,1.3977,1.4105,1.3941,1.4094,1.4232,1.4207,1.4269,1.4027,1.4054
1.3115,1.3787,1.3762,1.3691,1.3666,1.3468,1.3647,1.3674,1.3644,1.3717,1.3487,1.344
1.3525,1.4099,1.4107,1.4028,1.4058,1.4033,1.4044,1.416,1.4067,1.4165,1.3959,1.4052
1.3587,1.4102,1.4099,1.4094,1.4142,1.4031,1.415,1.4079,1.4104,1.3967,1.3976,1.4031
1.3546,1.407,1.3947,1.4132,1.4138,1.3999,1.4106,1.4105,1.4137,1.404,1.3968,1.4035
1.3578,1.405,1.4075,1.4067,1.3867,1.4029,1.4096,1.4085,1.4112,1.3992,1.3989,1.3988
