1,2,3,4,5,6,7,8,9,10,11,12
1.388,1.3758,1.3836,1.3888,1.3951,1.3994,1.4042,1.3869,1.3847,1.3935,1.4024,1.3743
1.3021,1.361,1.3512,1.3618,1.3768,1.3683,1.3412,1.3442,1.3225,1.373,1.3526,1.3444
1.3688,1.3879,1.3774,1.3843,1.3804,1.3722,1.3747,1.3955,1.4,1.4154,1.3877,1.3721
1.316,1.3776,1.3766,1.3574,1.3516,1.36,1.3642,1.3636,1.3515,1.3652,1.3456,1.3549
1.3786,1.392,1.3874,1.4079,1.3953,1.387,1.3906,1.3771,1.4087,1.4068,1.3857,1.3885
1.3888,1.4008,1.3917,1.4165,1.3967,1.3711,1.3812,1.3838,1.3981,1.3881,1.3931,1.3892
1.3907,1.3994,1.389,1.4103,1.3934,1.3778,1.3868,1.3767,1.4257,1.3875,1.3792,1.3855
0.294,1.3686,1.406,1.4022,1.3988,1.3974,1.4014,1.3913,1.4158,1.3959,1.3849,1.3896
