1,2,3,4,5,6,7,8,9,10,11,12
1.336,1.3662,1.3602,1.3725,1.3769,1.3706,1.3769,1.4176,1.3664,1.4363,1.4341,1.3556
1.303,1.3755,1.3595,1.3738,1.3669,1.3596,1.3525,1.4102,1.3582,1.4347,1.4334,1.3445
1.3305,1.3659,1.3693,1.3788,1.3665,1.3586,1.3674,1.4173,1.3868,1.4524,1.4327,1.3523
1.3306,1.3604,1.3725,1.3121,1.3714,1.3602,1.3574,1.4098,1.3576,1.4432,1.4177,1.4032
1.337,1.3799,1.382,1.4373,1.3754,1.3592,1.3793,1.3711,1.4723,1.422,1.3884,1.3717
1.3425,1.3758,1.369,1.4338,1.3821,1.3749,1.3898,1.3859,1.4735,1.4077,1.4229,1.3865
1.3426,1.3779,1.3744,1.4432,1.3848,1.3669,1.376,1.3817,1.4661,1.4106,1.3872,1.5152
1.2974,1.3852,1.3856,1.4432,1.3849,1.3847,1.3845,1.3821,1.4814,1.4256,1.3748,1.3742
