1,2,3,4,5,6,7,8,9,10,11,12
1.3341,0.2749,0.2797,0.2873,0.5489,0.291,0.2925,0.2917,0.5894,0.2807,0.2868,0.6268
0.8752,0.2755,0.2721,0.2799,0.5559,0.2775,0.2794,0.2812,0.5484,0.2795,0.2828,0.602
0.7554,0.2852,0.2769,0.2756,0.5696,0.2721,0.2741,0.2813,0.6219,0.2966,0.2856,0.844
0.5038,0.2806,0.2833,0.2754,0.5428,0.2749,0.2769,0.2839,0.6177,0.2812,0.2748,0.5641
0.3959,0.2832,0.2847,0.2852,0.2789,0.2808,0.2731,0.4793,0.2788,0.2808,0.6033,0.5893
0.2826,0.2838,0.2825,0.2838,0.286,0.2739,0.2753,0.3867,0.2739,0.2736,0.6046,0.7512
1.3412,0.2823,0.2834,0.2874,0.2804,0.2748,0.2814,0.4133,0.2844,0.2775,0.59,0.7451
0.2778,0.2833,0.2848,0.2848,0.2847,0.2886,0.2893,0.696,0.2823,0.2772,0.6426,0.8149
