1,2,3,4,5,6,7,8,9,10,11,12
1.3129,0.6251,0.4554,0.5413,1.1605,0.5166,0.6257,0.6459,1.1375,1.0462,0.8078,1.0419
0.9312,0.6347,0.6617,0.5274,1.1313,0.4574,0.681,0.6044,1.1279,1.1281,0.8193,1.0571
0.7482,0.6775,0.5871,0.5127,1.1542,0.5185,0.6185,0.6998,1.1546,1.0534,0.8495,1.2126
0.4734,0.6768,0.6168,0.4653,1.0523,0.5896,0.6438,0.6491,1.0897,0.7265,0.7922,1.0843
0.4013,0.731,0.7366,0.6866,0.6895,0.6721,0.5921,1.1356,0.7008,0.7315,1.1445,1.1346
0.2883,0.7344,0.755,0.6693,0.7052,0.6589,0.5691,1.1544,0.635,0.74,1.1581,1.1976
1.3089,0.8255,0.7102,0.7118,0.6961,0.7475,0.5052,1.1635,0.7243,0.7618,1.1697,1.1902
1.3094,0.7168,0.6861,0.763,0.7178,0.6716,0.5396,1.1703,0.7222,0.7438,1.1476,1.1865
