1,2,3,4,5,6,7,8,9,10,11,12
1.3748,1.3697,1.4053,1.3527,1.4159,1.4277,1.4062,1.4255,1.4089,1.53,1.4936,1.4129
1.3875,1.3724,1.4125,1.3449,1.425,1.4152,1.4067,1.426,1.407,1.5321,1.2821,1.4689
1.3784,1.3718,1.4185,1.3704,1.4107,1.413,1.3992,1.4355,1.4032,1.5467,1.5056,1.396
1.3676,1.3714,1.4142,1.3442,1.4132,1.4099,1.3951,1.4123,1.3841,1.5316,1.4967,1.3835
1.3726,1.4131,1.417,1.4467,1.385,1.3453,1.3748,1.3951,1.5575,1.5452,1.4543,1.4141
1.3758,1.4123,1.4177,1.4421,1.374,1.4125,1.265,1.4412,1.5058,1.5505,1.3626,1.4684
1.31,1.4092,1.3846,1.4461,1.374,1.4198,1.3267,1.3991,1.5284,1.5359,1.4603,1.3887
1.3325,1.4201,1.3915,1.3842,1.3759,1.418,1.3389,1.3998,1.5483,1.5483,1.4321,1.406
