1,2,3,4,5,6,7,8,9,10,11,12
1.3721,1.4061,1.4048,1.4102,1.4113,1.4044,1.4209,1.3969,1.398,1.4037,1.4037,1.3994
1.3533,1.3887,1.3901,1.3904,1.3761,1.3455,1.3824,1.3519,1.3738,1.3938,1.3954,1.3815
1.3669,1.4037,1.4108,1.4184,1.4038,1.3952,1.4052,1.3977,1.4028,1.3508,1.412,1.4034
1.302,1.3474,1.3659,1.3541,1.3228,1.3693,1.3538,1.3347,1.339,1.3658,1.3589,1.3499
1.3597,1.3965,1.4068,1.406,1.4032,1.4027,1.404,1.3904,1.4136,1.4115,1.4078,1.3982
1.3642,1.396,1.4028,1.4037,1.4089,1.3992,1.4058,1.3941,1.4036,1.4101,1.4038,1.3969
1.3571,1.3887,1.3914,1.403,1.4081,1.3986,1.4117,1.3969,1.4069,1.4106,1.4102,1.3997
1.3615,1.3435,1.4007,1.4024,1.4143,1.4083,1.4161,1.4045,1.4074,1.4096,1.4015,1.3985
