1,2,3,4,5,6,7,8,9,10,11,12
1.2908,0.401,0.394,0.4382,0.336,0.3961,0.3966,0.398,0.3254,0.3869,0.3713,0.3101
0.9071,0.3981,0.3936,0.4279,0.3281,0.3845,0.3841,0.3921,0.325,0.3844,0.3622,0.3109
0.6977,0.4049,0.3976,0.4411,0.3248,0.3797,0.3742,0.3892,0.3199,0.3863,0.3692,0.3052
0.4857,0.401,0.3949,0.434,0.3346,0.386,0.3792,0.3876,0.317,0.3864,0.3699,0.3092
0.3265,0.3862,0.3931,0.3927,0.3951,0.3828,0.4198,0.3235,0.3967,0.392,0.3163,0.3137
0.2806,0.3918,0.3971,0.3939,0.3983,0.384,0.4142,0.3242,0.391,0.3914,0.3133,0.3318
1.2053,0.3852,0.3887,0.3921,0.4014,0.3905,0.4201,0.3289,0.3937,0.3884,0.3108,0.3284
1.2139,0.3906,0.39,0.3945,0.407,0.3952,0.428,0.3336,0.3929,0.3876,0.3103,0.3066
