1,2,3,4,5,6,7,8,9,10,11,12
1.2727,0.3153,0.3128,0.3326,0.2996,0.3227,0.3238,0.3262,0.2925,0.3158,0.3141,0.2872
0.8624,0.3143,0.307,0.3278,0.2865,0.3082,0.3098,0.32,0.2888,0.3211,0.313,0.2862
0.7017,0.3122,0.3106,0.3243,0.2817,0.3052,0.3078,0.3173,0.3001,0.3252,0.3157,0.2827
0.5025,0.3146,0.3134,0.3188,0.2817,0.3004,0.3188,0.3167,0.2889,0.3187,0.3097,0.2853
0.3381,0.3116,0.3176,0.3162,0.3098,0.313,0.3196,0.2839,0.3159,0.3133,0.2847,0.2815
0.2745,0.3123,0.3157,0.3193,0.3198,0.3086,0.3266,0.2833,0.315,0.3098,0.2912,0.2893
1.2742,0.3162,0.3166,0.3318,0.3236,0.3173,0.324,0.2882,0.3141,0.3075,0.2798,0.2888
1.2321,0.3183,0.3173,0.3202,0.3235,0.3234,0.3351,0.2937,0.3176,0.3089,0.2758,0.2797
