1,2,3,4,5,6,7,8,9,10,11,12
1.3098,0.3045,0.3021,0.3119,0.2986,0.3071,0.3082,0.3081,0.2896,0.2965,0.2866,0.2805
0.9168,0.3035,0.3048,0.3017,0.2877,0.2935,0.2922,0.2964,0.2783,0.2852,0.288,0.2754
0.7355,0.304,0.3078,0.317,0.2878,0.2923,0.286,0.2933,0.2799,0.2923,0.2886,0.371
0.495,0.294,0.2971,0.3038,0.2887,0.302,0.2828,0.291,0.2776,0.2925,0.2856,0.2829
0.3485,0.2938,0.2958,0.2961,0.2925,0.2905,0.2967,0.2766,0.2971,0.2915,0.2806,0.2834
0.2806,0.2918,0.3003,0.297,0.2998,0.2955,0.2977,0.2852,0.2992,0.2902,0.2803,0.2942
1.2379,0.2973,0.2959,0.3011,0.2985,0.3001,0.3061,0.2874,0.3037,0.293,0.2832,0.2881
1.3023,0.293,0.2973,0.3024,0.3069,0.2996,0.3088,0.2934,0.2999,0.2944,0.286,0.2852
